City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,17.35,82,78,0.86,US,1687228909
1,port-aux-francais,-49.35,70.2167,3.16,67,59,12.92,TF,1687228909
2,ribeira grande,38.5167,-28.7,18.76,91,91,1.79,PT,1687228909
3,inirida,3.8653,-67.9239,22.4,96,64,0.53,CO,1687228910
4,north side,19.35,-81.2,29.04,84,20,3.6,KY,1687228910
5,port alfred,-33.5906,26.891,9.54,69,80,2.24,ZA,1687228910
6,yellowknife,62.456,-114.3525,14.29,47,20,5.14,CA,1687228910
7,saipan,15.1355,145.701,32.39,100,40,5.66,MP,1687228910
8,udachny,66.4167,112.4,14.14,35,100,4.5,RU,1687228910
9,puerto natales,-51.7236,-72.4875,-1.0,91,100,1.3,CL,1687228911
10,puerto ayora,-0.7393,-90.3518,25.31,93,1,1.79,EC,1687228911
11,constantia,44.1833,28.65,16.5,84,50,4.16,RO,1687228911
12,minas de marcona,-15.2119,-75.1103,13.01,87,64,5.04,PE,1687228911
13,avarua,-21.2078,-159.775,26.03,83,75,5.14,CK,1687228911
14,blagoveshchenka,52.8333,79.8667,16.71,56,5,8.99,RU,1687228911
15,bilibino,68.0546,166.4372,18.86,26,18,8.38,RU,1687228911
16,talnakh,69.4865,88.3972,2.08,100,100,2.28,RU,1687228912
17,mejit,10.2753,170.8646,27.87,78,92,7.18,MH,1687228912
18,papatowai,-46.5619,169.4708,12.05,90,98,4.6,NZ,1687228912
19,edinburgh of the seven seas,-37.0676,-12.3116,15.69,96,100,10.33,SH,1687228912
20,somerset east,-32.7217,25.588,5.57,71,36,9.38,ZA,1687228912
21,susuman,62.7833,148.1667,24.05,21,5,1.59,RU,1687228912
22,zonguldak,41.25,31.8333,14.3,98,100,2.14,TR,1687228912
23,pamandzi,-12.7967,45.2794,24.88,83,5,3.6,YT,1687228913
24,turpan,42.9333,89.1667,39.43,10,85,1.28,CN,1687228913
25,naze,28.3667,129.4833,24.51,88,89,2.35,JP,1687228913
26,fort bragg,35.139,-79.006,22.68,92,75,1.54,US,1687228913
27,berbera,10.4396,45.0143,32.77,44,6,5.69,SO,1687228913
28,mirnyy,62.5353,113.9611,15.13,38,100,5.81,RU,1687228913
29,vadso,70.0744,29.7487,7.49,81,75,5.66,NO,1687228913
30,bam,29.106,58.357,36.47,18,20,3.0,IR,1687228914
31,lompoc,34.6391,-120.4579,17.66,75,0,10.29,US,1687228914
32,northam,51.0333,-4.2167,15.34,95,100,1.41,GB,1687228914
33,znamenskoye,57.1281,73.8282,5.06,95,100,7.92,RU,1687228914
34,puerto baquerizo moreno,-0.9,-89.6,24.83,86,2,4.31,EC,1687228915
35,quatre cocos,-20.2078,57.7625,22.06,70,98,7.04,MU,1687228915
36,mukalla,14.5425,49.1242,30.44,69,27,0.84,YE,1687228915
37,port elizabeth,-33.918,25.5701,12.28,72,75,14.4,ZA,1687228672
38,bredasdorp,-34.5322,20.0403,8.22,79,74,4.53,ZA,1687228916
39,blackmans bay,-43.0167,147.3167,10.29,62,56,4.39,AU,1687228916
40,filingue,14.3521,3.3168,31.7,42,86,3.74,NE,1687228916
41,ancud,-41.8697,-73.8203,5.61,84,3,3.63,CL,1687228916
42,buala,-8.145,159.5921,28.31,77,93,0.85,SB,1687228916
43,hami,42.8,93.45,36.24,6,20,3.36,CN,1687228917
44,port sudan,19.6175,37.2164,29.5,71,60,3.3,SD,1687228917
45,beitbridge,-22.2167,30.0,15.48,31,0,3.11,ZW,1687228918
46,college,64.8569,-147.8028,19.77,48,100,3.09,US,1687228918
47,priozersk,61.0393,30.1291,15.06,59,47,3.48,RU,1687228918
48,ilulissat,69.2167,-51.1,6.01,65,75,1.03,GL,1687228919
49,afaahiti,-17.75,-149.2833,27.81,78,2,4.07,PF,1687228920
50,utrik,11.2278,169.8474,27.97,78,52,6.63,MH,1687228920
51,georgetown,5.4112,100.3354,31.96,74,20,1.54,MY,1687228920
52,wailua homesteads,22.0669,-159.378,27.24,75,40,5.14,US,1687228921
53,lumding railway colony,25.749,93.17,30.13,66,73,1.86,IN,1687228921
54,cacapava do sul,-30.5122,-53.4914,6.06,92,100,0.94,BR,1687228921
55,moengo,5.6167,-54.4,23.11,99,64,0.26,SR,1687228921
56,grytviken,-54.2811,-36.5092,-3.39,69,26,5.09,GS,1687228922
57,margaret river,-33.95,115.0667,12.69,61,83,6.98,AU,1687228922
58,santa elena de uairen,4.6167,-61.1333,18.83,97,41,0.81,VE,1687228922
59,lionel town,17.8101,-77.2406,29.94,80,100,3.87,JM,1687228922
60,isafjordur,66.0755,-23.124,4.32,93,100,4.3,IS,1687228922
61,cesvaine,56.9667,26.3167,13.48,84,76,1.38,LV,1687228923
62,kidal,18.4411,1.4078,33.75,24,55,3.17,ML,1687228923
63,howard springs,-12.497,131.047,31.01,39,54,3.83,AU,1687228923
64,codrington,-38.2667,141.9667,9.91,67,100,2.81,AU,1687228923
65,longyearbyen,78.2186,15.6401,4.91,93,75,1.03,SJ,1687228923
66,antofagasta,-23.65,-70.4,16.6,65,3,3.47,CL,1687228924
67,corner brook,48.9667,-57.9484,5.09,98,100,1.49,CA,1687228924
68,adamstown,-25.066,-130.1015,23.77,82,65,10.9,PN,1687228924
69,brookings,44.3114,-96.7984,29.19,51,0,6.69,US,1687228924
70,ushuaia,-54.8,-68.3,2.81,70,0,2.06,AR,1687228879
71,kot samaba,28.5522,70.4684,34.65,43,4,7.66,PK,1687228925
72,iqaluit,63.7506,-68.5145,5.85,75,100,1.54,CA,1687228925
73,las tablas,7.7667,-80.2833,27.19,86,100,3.01,PA,1687228926
74,elista,46.3078,44.2558,14.29,54,6,3.13,RU,1687228926
75,yaren,-0.5472,166.916,28.04,72,100,1.45,NR,1687228926
76,ji'an,27.1172,114.9793,30.21,75,100,2.58,CN,1687228926
77,port douglas,-16.4833,145.4667,23.99,66,38,2.91,AU,1687228926
78,qaisumah,28.3112,46.1273,27.98,21,0,0.0,SA,1687228926
